name	description	p-value	q-value	phenotype	genes
EYE DEVELOPMENT%GOBP%GO:0001654	eye development	0.0448861723788693	0.0448861723788693	1	SOX9,PDGFRA,WT1
FACTORS AND PATHWAYS AFFECTING INSULIN-LIKE GROWTH FACTOR (IGF1)-AKT SIGNALING%WIKIPATHWAYS_20220510%WP3850%HOMO SAPIENS	Factors and pathways affecting insulin-like growth factor (IGF1)-Akt signaling	0.00292887427586488	0.00292887427586488	1	MTOR,PTEN,SMAD2
FANCONI ANEMIA PATHWAY%PATHWAY INTERACTION DATABASE NCI-NATURE CURATED DATA%FANCONI ANEMIA PATHWAY	Fanconi anemia pathway	0.000547026942431667	0.000547026942431667	1	BRCA1,BRCA2,ATM,ATR
FC-EPSILON RECEPTOR I SIGNALING IN MAST CELLS%PATHWAY INTERACTION DATABASE NCI-NATURE CURATED DATA%FC-EPSILON RECEPTOR I SIGNALING IN MAST CELLS	Fc-epsilon receptor I signaling in mast cells	0.00987342025705089	0.00987342025705089	1	PIK3CA,MAP3K1,AKT1,MAP2K4,PTPN11,PIK3R1
FEMALE SEX DIFFERENTIATION%GOBP%GO:0046660	female sex differentiation	0.00172027894366459	0.00172027894366459	1	TBX3,KIT,PDGFRA
FGF SIGNALING PATHWAY%PANTHER PATHWAY%P00021	FGF signaling pathway	0.000121467581741357	0.000121467581741357	1	FGFR3,FGFR2,PIK3CG,AKT1,MAP2K4,PIK3CA,NRAS
FGF SIGNALING PATHWAY%PATHWAY INTERACTION DATABASE NCI-NATURE CURATED DATA%FGF SIGNALING PATHWAY	FGF signaling pathway	5.75442834380318e-05	5.75442834380318e-05	1	FGFR3,PIK3CA,FGFR2,PTPN11,CDH1,AKT1,PIK3R1
FGF23 SIGNALING IN HYPOPHOSPHATEMIC RICKETS AND RELATED DISORDERS%WIKIPATHWAYS_20220510%WP4790%HOMO SAPIENS	FGF23 signaling in hypophosphatemic rickets and related disorders	3.47376155182334e-05	3.47376155182334e-05	1	CDKN1A,CCND1,FGFR3,FGFR2
FGFR3 SIGNALING IN CHONDROCYTE PROLIFERATION AND TERMINAL DIFFERENTIATION%WIKIPATHWAYS_20220510%WP4767%HOMO SAPIENS	FGFR3 signaling in chondrocyte proliferation and terminal differentiation	0.00124795424614133	0.00124795424614133	1	FGFR3,CDKN1A,SOX9
FIBROBLAST GROWTH FACTOR RECEPTOR SIGNALING PATHWAY%GOBP%GO:0008543	fibroblast growth factor receptor signaling pathway	0.00406362947522308	0.00406362947522308	1	FGFR3,PTPN11,FGFR2
FLT3 SIGNALING IN DISEASE%REACTOME%R-HSA-9682385.2	FLT3 signaling in disease	0.000127865482185093	0.000127865482185093	1	PIK3CA,PIK3R1,NRAS,PTPN11,CDKN1A,FLT3
FLT3 SIGNALING%REACTOME%R-HSA-9607240.6	FLT3 Signaling	0.000312268813697394	0.000312268813697394	1	PIK3CA,PIK3R1,NRAS,PTPN11,CDKN1B,AKT1,FLT3
FOCAL ADHESION%WIKIPATHWAYS_20220510%WP306%HOMO SAPIENS	Focal adhesion	5.03652251463035e-06	5.03652251463035e-06	1	PIK3R1,CCND1,HGF,BRAF,CTNNB1,PTEN,ARHGAP35,PDGFRA,EGFR
FOREBRAIN DEVELOPMENT%GOBP%GO:0030900	forebrain development	0.0157989698331809	0.0157989698331809	1	SIN3A,PTEN,LRRK2,FGFR2,ERBB4
FORMATION OF AXIAL MESODERM%REACTOME DATABASE ID RELEASE 83%9796292	Formation of axial mesoderm	2.0166158829927e-05	2.0166158829927e-05	1	FOXA2,SMAD2,CTNNB1,FOXA1
FORMATION OF PARAXIAL MESODERM%REACTOME DATABASE ID RELEASE 83%9793380	Formation of paraxial mesoderm	0.000571416791534361	0.000571416791534361	1	NOTCH1,CTNNB1,EP300
FORMATION OF PRIMARY GERM LAYER%GOBP%GO:0001704	formation of primary germ layer	0.0169896952814395	0.0169896952814395	1	SMAD2,SETD2,SOX17
FORMATION OF THE BETA-CATENIN:TCF TRANSACTIVATING COMPLEX%REACTOME%R-HSA-201722.4	Formation of the beta-catenin:TCF transactivating complex	0.0120798647264655	0.0120798647264655	1	AXIN2,EP300,CTNNB1
FOXA1 TRANSCRIPTION FACTOR NETWORK%PATHWAY INTERACTION DATABASE NCI-NATURE CURATED DATA%FOXA1 TRANSCRIPTION FACTOR NETWORK	FOXA1 transcription factor network	8.73332438094945e-07	8.73332438094945e-07	1	AR,CDKN1B,FOXA1,FOXA2,BRCA1,EP300
FOXA2 AND FOXA3 TRANSCRIPTION FACTOR NETWORKS%PATHWAY INTERACTION DATABASE NCI-NATURE CURATED DATA%FOXA2 AND FOXA3 TRANSCRIPTION FACTOR NETWORKS	FOXA2 and FOXA3 transcription factor networks	0.000267163582790117	0.000267163582790117	1	NF1,FOXA1,FOXA2,CEBPA,AKT1
FOXM1 TRANSCRIPTION FACTOR NETWORK%PATHWAY INTERACTION DATABASE NCI-NATURE CURATED DATA%FOXM1 TRANSCRIPTION FACTOR NETWORK	FOXM1 transcription factor network	7.00583806528858e-07	7.00583806528858e-07	1	RB1,CCND1,BRCA2,EP300,CHEK2,CDKN2A
FOXO FAMILY SIGNALING%PATHWAY INTERACTION DATABASE NCI-NATURE CURATED DATA%FOXO FAMILY SIGNALING	FoxO family signaling	0.00302462390671996	0.00302462390671996	1	CDKN1B,AKT1,EP300,CTNNB1
FOXO-MEDIATED TRANSCRIPTION OF CELL CYCLE GENES%REACTOME DATABASE ID RELEASE 83%9617828	FOXO-mediated transcription of cell cycle genes	3.95349650262202e-05	3.95349650262202e-05	1	SMAD4,CDKN1A,CDKN1B,SMAD2
FOXO-MEDIATED TRANSCRIPTION OF OXIDATIVE STRESS, METABOLIC AND NEURONAL GENES%REACTOME DATABASE ID RELEASE 83%9615017	FOXO-mediated transcription of oxidative stress, metabolic and neuronal genes	0.00270328556425996	0.00270328556425996	1	SMAD4,SMAD2,SIN3A
FOXO-MEDIATED TRANSCRIPTION%REACTOME DATABASE ID RELEASE 83%9614085	FOXO-mediated transcription	3.48792317570997e-06	3.48792317570997e-06	1	CDKN1A,CDKN1B,STK11,AKT1,EP300,SMAD4,SMAD2,SIN3A
FRAGILE X SYNDROME%WIKIPATHWAYS_20220510%WP4549%HOMO SAPIENS	Fragile X syndrome	0.000100252686651409	0.000100252686651409	1	PTPN11,BRAF,NF1,MTOR,PTEN,KRAS,CDKN2A
G1 PHASE%REACTOME DATABASE ID RELEASE 83%69236	G1 Phase	5.58362197744113e-07	5.58362197744113e-07	1	CDKN2A,RB1,CDKN1A,CDKN1B,CCND1,CDKN2C,PPP2R1A
G1 S DNA DAMAGE CHECKPOINTS%REACTOME DATABASE ID RELEASE 83%69615	G1 S DNA Damage Checkpoints	1.31872472765556e-05	1.31872472765556e-05	1	CDKN1A,CDKN1B,ATM,CDKN2A,TP53,CHEK2
G1 S TRANSITION%REACTOME DATABASE ID RELEASE 83%69206	G1 S Transition	0.00182221777076671	0.00182221777076671	1	PPP2R1A,RB1,CDKN1A,CDKN1B,CCND1,AKT1
G1 TO S CELL CYCLE CONTROL%WIKIPATHWAYS_20220510%WP45%HOMO SAPIENS	G1 to S cell cycle control	1.4601532582252e-06	1.4601532582252e-06	1	CDKN2C,CCND1,RB1,CDKN1B,ATM,CDKN1A,CDKN2A
G1/S TRANSITION OF MITOTIC CELL CYCLE%GOBP%GO:0000082	G1/S transition of mitotic cell cycle	0.000290357954969879	0.000290357954969879	1	CCND1,ACVR1B,CDKN1A,RB1,CDKN1B
G2 M CHECKPOINTS%REACTOME%R-HSA-69481.3	G2 M Checkpoints	0.00298054158042559	0.00298054158042559	1	ATR,TP53,CHEK2,BRCA1,ATM
G2 M DNA DAMAGE CHECKPOINT%REACTOME DATABASE ID RELEASE 83%69473	G2 M DNA damage checkpoint	0.00029528474934418	0.00029528474934418	1	ATR,BRCA1,ATM,TP53,CHEK2
G2 M TRANSITION%REACTOME%R-HSA-69275.5	G2 M Transition	0.00531520921019128	0.00531520921019128	1	TP53,PPP2R1A,AJUBA,CDKN1A,EP300
GASTRIN SIGNALING PATHWAY%WIKIPATHWAYS_20220510%WP4659%HOMO SAPIENS	Gastrin signaling pathway	1.62029635519149e-07	1.62029635519149e-07	1	PIK3R1,CCND1,CDKN1A,PTPN11,CTNNB1,KIT,CDKN1B,MTOR,KRAS,CDKN2A,EGFR
GASTRIN_CCK2R_240212%PANTHER PATHWAY%P06959	Gastrin_CCK2R_240212	0.000976744797362411	0.000976744797362411	1	CTNNB1,CDH1,AKT1,MAP2K4,PIK3R1,BRAF,PTPN11
GASTRULATION%GOBP%GO:0007369	gastrulation	0.00558320178380477	0.00558320178380477	1	SMAD2,SETD2,SOX17,FOXA2
GASTRULATION%REACTOME DATABASE ID RELEASE 83%9758941	Gastrulation	4.88857928092086e-07	4.88857928092086e-07	1	SMAD4,NOTCH1,FOXA2,SMAD2,CTNNB1,FOXA1,EP300
GDNF/RET SIGNALING AXIS%WIKIPATHWAYS_20220510%WP4830%HOMO SAPIENS	GDNF/RET signaling axis	0.000761275205256875	0.000761275205256875	1	GATA3,CTNNB1,SOX17
GENES CONTROLLING NEPHROGENESIS%WIKIPATHWAYS_20220510%WP4823%HOMO SAPIENS	Genes controlling nephrogenesis	0.00205302706852978	0.00205302706852978	1	CTNNB1,FGFR2,WT1
GENITALIA DEVELOPMENT%GOBP%GO:0048806	genitalia development	0.000788228470726057	0.000788228470726057	1	PTPN11,TBX3,WT1
GLAND DEVELOPMENT%GOBP%GO:0048732	gland development	9.59076560431319e-07	9.59076560431319e-07	1	TBX3,CEBPA,SOX9,FGFR2,ARID5B,ERBB4,ELF3,ARHGAP35,AKT1,WT1
GLAND MORPHOGENESIS%GOBP%GO:0022612	gland morphogenesis	0.000478828381890294	0.000478828381890294	1	SOX9,FGFR2,ELF3
GLIAL CELL DIFFERENTIATION%GOBP%GO:0010001	glial cell differentiation	0.00560698147061253	0.00560698147061253	1	PRX,PTEN,SOX9
GLIOBLASTOMA SIGNALING PATHWAYS%WIKIPATHWAYS_20220510%WP2261%HOMO SAPIENS	Glioblastoma signaling pathways	1.98803989736277e-20	1.98803989736277e-20	1	PIK3R1,BRAF,CDKN2C,CCND1,FGFR2,EP300,MAP2K4,RB1,BRCA1,CDKN1B,NRAS,NF1,ATM,BRCA2,PTEN,CDKN1A,KRAS,CDKN2A,PDGFRA,EGFR
GLIOGENESIS%GOBP%GO:0042063	gliogenesis	0.00883465210288939	0.00883465210288939	1	PRX,PTEN,SOX9
GLUCOCORTICOID RECEPTOR REGULATORY NETWORK%PATHWAY INTERACTION DATABASE NCI-NATURE CURATED DATA%GLUCOCORTICOID RECEPTOR REGULATORY NETWORK	Glucocorticoid receptor regulatory network	0.0021688750684137	0.0021688750684137	1	CDKN1A,AKT1,EP300,GATA3,TP53
GONAD DEVELOPMENT%GOBP%GO:0008406	gonad development	1.24040488089515e-05	1.24040488089515e-05	1	AR,GATA3,KIT,PDGFRA,SOX9,WT1
GPVI-MEDIATED ACTIVATION CASCADE%REACTOME DATABASE ID RELEASE 83%114604	GPVI-mediated activation cascade	0.00261771834951986	0.00261771834951986	1	PIK3CA,PIK3R1,PIK3CG,PTPN11
GROWTH%GOBP%GO:0040007	growth	2.99570665062161e-05	2.99570665062161e-05	1	NOTCH1,CTNNB1,FGFR3,SOX9,FGFR2,ERBB4,USP9X,RUNX1
H19 ACTION RB-E2F1 SIGNALING AND CDK-BETA-CATENIN ACTIVITY%WIKIPATHWAYS_20220510%WP3969%HOMO SAPIENS	H19 action Rb-E2F1 signaling and CDK-Beta-catenin activity	8.14972811057016e-05	8.14972811057016e-05	1	RB1,CCND1,CTNNB1
HAIR FOLLICLE DEVELOPMENT: CYTODIFFERENTIATION - PART 3 OF 3%WIKIPATHWAYS_20220510%WP2840%HOMO SAPIENS	Hair follicle development: cytodifferentiation - part 3 of 3	1.8457209677292e-05	1.8457209677292e-05	1	GATA3,CTNNB1,SOX9,SMAD4,NOTCH1,EGFR
HAIR FOLLICLE DEVELOPMENT: ORGANOGENESIS - PART 2 OF 3%WIKIPATHWAYS_20220510%WP2839%HOMO SAPIENS	Hair follicle development: organogenesis - part 2 of 3	4.87083706516638e-05	4.87083706516638e-05	1	CTNNB1,CCND1,FGFR2,PDGFRA
HALLMARK_APICAL_JUNCTION%MSIGDBHALLMARK%HALLMARK_APICAL_JUNCTION	HALLMARK_APICAL_JUNCTION	0.000826472888654391	0.000826472888654391	1	NF1,PTEN,EGFR
HALLMARK_APOPTOSIS%MSIGDBHALLMARK%HALLMARK_APOPTOSIS	HALLMARK_APOPTOSIS	0.000291529028530084	0.000291529028530084	1	CTNNB1,CDKN1B,CCND1,CDKN1A,HGF,BRCA1
HALLMARK_E2F_TARGETS%MSIGDBHALLMARK%HALLMARK_E2F_TARGETS	HALLMARK_E2F_TARGETS	4.07172297068823e-08	4.07172297068823e-08	1	CTCF,BRCA2,SMC1A,CDKN2C,EZH2,CDKN1B,CDKN1A,BRCA1,CDKN2A,CHEK2,SMC3,RAD21
HALLMARK_G2M_CHECKPOINT%MSIGDBHALLMARK%HALLMARK_G2M_CHECKPOINT	HALLMARK_G2M_CHECKPOINT	6.77338750961171e-05	6.77338750961171e-05	1	CTCF,BRCA2,SMC1A,CDKN2C,EZH2,CDKN1B,CCND1,RAD21
HALLMARK_GLYCOLYSIS%MSIGDBHALLMARK%HALLMARK_GLYCOLYSIS	HALLMARK_GLYCOLYSIS	0.0275498983887753	0.0275498983887753	1	SOX9,IDH1,EGFR,ELF3
HALLMARK_INFLAMMATORY_RESPONSE%MSIGDBHALLMARK%HALLMARK_INFLAMMATORY_RESPONSE	HALLMARK_INFLAMMATORY_RESPONSE	0.100060138596083	0.100060138596083	1	CDKN1A,ACVR2A,ACVR1B
HALLMARK_MITOTIC_SPINDLE%MSIGDBHALLMARK%HALLMARK_MITOTIC_SPINDLE	HALLMARK_MITOTIC_SPINDLE	0.02451904599756	0.02451904599756	1	NF1,BRCA2,SMC1A,SMC3
HALLMARK_P53_PATHWAY%MSIGDBHALLMARK%HALLMARK_P53_PATHWAY	HALLMARK_P53_PATHWAY	0.000191941629721147	0.000191941629721147	1	RB1,FBXW7,NOTCH1,CDKN1A,CEBPA,ACVR1B,CDKN2A
HALLMARK_PI3K_AKT_MTOR_SIGNALING%MSIGDBHALLMARK%HALLMARK_PI3K_AKT_MTOR_SIGNALING	HALLMARK_PI3K_AKT_MTOR_SIGNALING	0.000188667215482603	0.000188667215482603	1	CDKN1A,EGFR,SMAD2,PTPN11,CDKN1B,PTEN
HALLMARK_SPERMATOGENESIS%MSIGDBHALLMARK%HALLMARK_SPERMATOGENESIS	HALLMARK_SPERMATOGENESIS	0.0430240273482736	0.0430240273482736	1	BRAF,EZH2,MTOR
HALLMARK_TNFA_SIGNALING_VIA_NFKB%MSIGDBHALLMARK%HALLMARK_TNFA_SIGNALING_VIA_NFKB	HALLMARK_TNFA_SIGNALING_VIA_NFKB	0.0600990785215598	0.0600990785215598	1	CCND1,CDKN1A,NFE2L2
HALLMARK_UV_RESPONSE_DN%MSIGDBHALLMARK%HALLMARK_UV_RESPONSE_DN	HALLMARK_UV_RESPONSE_DN	8.96871166488871e-05	8.96871166488871e-05	1	RUNX1,TGFBR2,KIT,SPOP,CDKN1B,PTEN,ACVR2A
HCMV EARLY EVENTS%REACTOME%R-HSA-9609690.1	HCMV Early Events	0.00536564481137558	0.00536564481137558	1	EGFR,NCOR1,TBL1XR1,EZH2
HCMV INFECTION%REACTOME DATABASE ID RELEASE 83%9609646	HCMV Infection	0.0101040902206914	0.0101040902206914	1	EGFR,NCOR1,TBL1XR1,EZH2
HDMS DEMETHYLATE HISTONES%REACTOME%R-HSA-3214842.3	HDMs demethylate histones	0.000462651805593111	0.000462651805593111	1	KDM5C,KDM6A,ARID5B
HDR THROUGH HOMOLOGOUS RECOMBINATION (HRR) OR SINGLE STRAND ANNEALING (SSA)%REACTOME DATABASE ID RELEASE 83%5693567	HDR through Homologous Recombination (HRR) or Single Strand Annealing (SSA)	0.00643412745781256	0.00643412745781256	1	ATR,BRCA1,BRCA2,ATM
HDR THROUGH HOMOLOGOUS RECOMBINATION (HRR)%REACTOME%R-HSA-5685942.1	HDR through Homologous Recombination (HRR)	0.00149118789687359	0.00149118789687359	1	ATR,BRCA1,BRCA2,ATM
HDR THROUGH SINGLE STRAND ANNEALING (SSA)%REACTOME%R-HSA-5685938.1	HDR through Single Strand Annealing (SSA)	0.0026516199063211	0.0026516199063211	1	ATM,ATR,BRCA1
HEAD AND NECK SQUAMOUS CELL CARCINOMA%WIKIPATHWAYS_20220510%WP4674%HOMO SAPIENS	Head and neck squamous cell carcinoma	1.38500919144399e-22	1.38500919144399e-22	1	PIK3R1,CTNNB1,CCND1,FGFR3,FGFR2,AJUBA,RB1,NFE2L2,STK11,SMAD4,NRAS,MTOR,PTEN,CDKN1A,KRAS,TGFBR2,CDKN2A,NOTCH1,EGFR,KEAP1
HEART DEVELOPMENT%WIKIPATHWAYS_20220510%WP1591%HOMO SAPIENS	Heart development	4.4194320140994e-05	4.4194320140994e-05	1	PTPN11,CTNNB1,SMAD4,NOTCH1,FOXA2
HEART LOOPING%GOBP%GO:0001947	heart looping	0.00263156325633173	0.00263156325633173	1	NOTCH1,TGFBR2,SOX17
HEART MORPHOGENESIS%GOBP%GO:0003007	heart morphogenesis	1.4601532582252e-06	1.4601532582252e-06	1	NOTCH1,SOX17,TBX3,SOX9,FGFR2,SMAD2,SMAD4,GATA3,APC,TGFBR2
HEART VALVE DEVELOPMENT%GOBP%GO:0003170	heart valve development	1.52949165086988e-08	1.52949165086988e-08	1	AXIN2,NOTCH1,SMAD2,SMAD4,GATA3,APC,TGFBR2,RB1,SOX9
HEART VALVE MORPHOGENESIS%GOBP%GO:0003179	heart valve morphogenesis	8.37981050089002e-08	8.37981050089002e-08	1	AXIN2,NOTCH1,SMAD2,SMAD4,GATA3,TGFBR2,RB1,SOX9
HEDGEHOG SIGNALING EVENTS MEDIATED BY GLI PROTEINS%PATHWAY INTERACTION DATABASE NCI-NATURE CURATED DATA%HEDGEHOG SIGNALING EVENTS MEDIATED BY GLI PROTEINS	Hedgehog signaling events mediated by Gli proteins	0.00767585679634692	0.00767585679634692	1	SPOP,FOXA2,SIN3A,AKT1
HEMATOPOIETIC PROGENITOR CELL DIFFERENTIATION%GOBP%GO:0002244	hematopoietic progenitor cell differentiation	0.00110113616430748	0.00110113616430748	1	KIT,TP53,FLT3
HEMATOPOIETIC STEM CELL DIFFERENTIATION%WIKIPATHWAYS_20220510%WP2849%HOMO SAPIENS	Hematopoietic stem cell differentiation	0.00664745174598801	0.00664745174598801	1	RUNX1,NOTCH1,ACVR1B
HEMATOPOIETIC STEM CELL GENE REGULATION BY GABP ALPHA/BETA COMPLEX%WIKIPATHWAYS_20220510%WP3657%HOMO SAPIENS	Hematopoietic stem cell gene regulation by GABP alpha/beta complex	2.58793605385852e-07	2.58793605385852e-07	1	SMAD4,ATM,FLT3,EP300,PTEN
HEME SIGNALING%REACTOME DATABASE ID RELEASE 83%9707616	Heme signaling	9.56228949883188e-05	9.56228949883188e-05	1	TLR4,NCOR1,TBL1XR1,NFE2L2,EP300
HEMOSTASIS%GOBP%GO:0007599	hemostasis	0.0207753045181938	0.0207753045181938	1	PIK3CG,PDGFRA,PIK3CA
HEPATITIS B INFECTION%WIKIPATHWAYS_20220510%WP4666%HOMO SAPIENS	Hepatitis B infection	2.21405301808662e-05	2.21405301808662e-05	1	PIK3R1,EP300,SMAD4,CDKN1A,TGFBR2,BRAF,MAP2K4,TLR4,NRAS,KRAS,MAP3K1,SMAD2
HEPATITIS C AND HEPATOCELLULAR CARCINOMA%WIKIPATHWAYS_20220510%WP3646%HOMO SAPIENS	Hepatitis C and hepatocellular carcinoma	4.08270495641644e-05	4.08270495641644e-05	1	BRCA1,PTPN11,SMAD4,CCND1,CDKN1A
HEPATOCYTE GROWTH FACTOR RECEPTOR SIGNALING%WIKIPATHWAYS_20220510%WP313%HOMO SAPIENS	Hepatocyte growth factor receptor signaling	0.00186920371442136	0.00186920371442136	1	PTPN11,PTEN,HGF
HETEROCHROMATIN FORMATION%GOBP%GO:0031507	heterochromatin formation	0.00978517683740694	0.00978517683740694	1	ATRX,EZH2,RB1
HETEROCHROMATIN ORGANIZATION%GOBP%GO:0070828	heterochromatin organization	0.00254621243336301	0.00254621243336301	1	ATRX,EZH2,RB1,MECOM
HIF-1-ALPHA TRANSCRIPTION FACTOR NETWORK%PATHWAY INTERACTION DATABASE NCI-NATURE CURATED DATA%HIF-1-ALPHA TRANSCRIPTION FACTOR NETWORK	HIF-1-alpha transcription factor network	0.00657545204947668	0.00657545204947668	1	NPM1,AKT1,EP300,SMAD4
HIPPO SIGNALING REGULATION PATHWAYS%WIKIPATHWAYS_20220510%WP4540%HOMO SAPIENS	Hippo signaling regulation pathways	4.41005857044672e-08	4.41005857044672e-08	1	CTNNB1,FGFR3,FGFR2,KIT,FLT3,MTOR,SMAD2,PDGFRA,EGFR
HIPPO-MERLIN SIGNALING DYSREGULATION%WIKIPATHWAYS_20220510%WP4541%HOMO SAPIENS	Hippo-Merlin signaling dysregulation	1.10639109059965e-08	1.10639109059965e-08	1	CTNNB1,CCND1,FGFR3,FGFR2,KIT,AJUBA,NRAS,FLT3,KRAS,PDGFRA,EGFR
HISTONE DEUBIQUITINATION%GOBP%GO:0016578	histone deubiquitination	0.00226106496932719	0.00226106496932719	1	BAP1,BRCA1,ASXL1
HISTONE LYSINE METHYLATION%GOBP%GO:0034968	histone lysine methylation	0.000819583979240389	0.000819583979240389	1	SETBP1,SETD2,EZH2,KDM6A
HISTONE METHYLATION%GOBP%GO:0016571	histone methylation	0.00145255587503436	0.00145255587503436	1	SETBP1,SETD2,EZH2,KDM6A
HISTONE MODIFICATION%GOBP%GO:0016570	histone modification	1.44511282360422e-05	1.44511282360422e-05	1	TBL1XR1,BAP1,EZH2,ASXL1,SETBP1,SETD2,BRCA1,KDM6A,BRCA2,EP300
HISTONE MODIFICATIONS%WIKIPATHWAYS_20220510%WP2369%HOMO SAPIENS	Histone modifications	0.000819583979240389	0.000819583979240389	1	MLL2,SETD2,SETBP1,EZH2
HIV INFECTION%REACTOME%R-HSA-162906.2	HIV Infection	0.180290003889885	0.180290003889885	1	ERCC2,TAF1,NPM1
HOMEOSTASIS OF NUMBER OF CELLS%GOBP%GO:0048872	homeostasis of number of cells	0.00097418668636687	0.00097418668636687	1	NOTCH1,FLT3,SOX9,PPP2R1A,AKT1,KIT
HOMOLOGOUS DNA PAIRING AND STRAND EXCHANGE%REACTOME%R-HSA-5693579.3	Homologous DNA Pairing and Strand Exchange	0.000391161476540211	0.000391161476540211	1	ATM,ATR,BRCA1,BRCA2
HOMOLOGOUS RECOMBINATION%GOBP%GO:0035825	homologous recombination	0.0114930390517286	0.0114930390517286	1	RAD21,ATM,BRCA1
HOMOLOGY DIRECTED REPAIR%REACTOME%R-HSA-5693538.2	Homology Directed Repair	0.00145255587503436	0.00145255587503436	1	ATR,BRCA1,BRCA2,POLQ,ATM
HYPOTHESIZED PATHWAYS IN PATHOGENESIS OF CARDIOVASCULAR DISEASE%WIKIPATHWAYS_20220510%WP3668%HOMO SAPIENS	Hypothesized pathways in pathogenesis of cardiovascular disease	0.00171169798694571	0.00171169798694571	1	TGFBR2,SMAD4,SMAD2
HYPOXIC AND OXYGEN HOMEOSTASIS REGULATION OF HIF-1-ALPHA%PATHWAY INTERACTION DATABASE NCI-NATURE CURATED DATA%HYPOXIC AND OXYGEN HOMEOSTASIS REGULATION OF HIF-1-ALPHA	Hypoxic and oxygen homeostasis regulation of HIF-1-alpha	6.23005112644641e-06	6.23005112644641e-06	1	VHL,TP53,CDKN2A
IFN-GAMMA PATHWAY%PATHWAY INTERACTION DATABASE NCI-NATURE CURATED DATA%IFN-GAMMA PATHWAY	IFN-gamma pathway	0.000462651805593111	0.000462651805593111	1	MTOR,PIK3CA,PTPN11,MAP3K1,AKT1,EP300,PIK3R1
IL-18 SIGNALING PATHWAY%WIKIPATHWAYS_20220510%WP4754%HOMO SAPIENS	IL-18 signaling pathway	0.0046103526527639	0.0046103526527639	1	PIK3R1,CTNNB1,FBXW7,PTEN
IL-4 SIGNALING PATHWAY%WIKIPATHWAYS_20220510%WP395%HOMO SAPIENS	IL-4 signaling pathway	0.000649650035140562	0.000649650035140562	1	GATA3,PIK3R1,PTPN11,EP300,CEBPA
IL2 SIGNALING EVENTS MEDIATED BY PI3K%PATHWAY INTERACTION DATABASE NCI-NATURE CURATED DATA%IL2 SIGNALING EVENTS MEDIATED BY PI3K	IL2 signaling events mediated by PI3K	0.00299531482982477	0.00299531482982477	1	MTOR,PIK3CA,PTPN11,AKT1,PIK3R1
IL4%NETPATH%IL4	IL4	0.00383324920967222	0.00383324920967222	1	EP300,PTPN11,CEBPA
IL6-MEDIATED SIGNALING EVENTS%PATHWAY INTERACTION DATABASE NCI-NATURE CURATED DATA%IL6-MEDIATED SIGNALING EVENTS	IL6-mediated signaling events	0.00571657981589217	0.00571657981589217	1	PIK3CA,PTPN11,AKT1,MAP2K4,PIK3R1
IL6%NETPATH%IL6	IL6	0.00135706479579556	0.00135706479579556	1	RB1,EP300,MAP2K4,PIK3R1,PTPN11
IMATINIB AND CHRONIC MYELOID LEUKEMIA%WIKIPATHWAYS_20220510%WP3640%HOMO SAPIENS	Imatinib and chronic myeloid leukemia	0.000277385679492186	0.000277385679492186	1	CDKN1B,PDGFRA,KIT
IMATINIB INHIBITION OF BCR-ABL%SMPDB%SMP0031694	Imatinib Inhibition of BCR-ABL	0.00024892990722007	0.00024892990722007	1	TP53,CDKN1B,PIK3R1,MTOR
IMMUNE RESPONSE-ACTIVATING CELL SURFACE RECEPTOR SIGNALING PATHWAY%GOBP%GO:0002429	immune response-activating cell surface receptor signaling pathway	0.0156508461620347	0.0156508461620347	1	PIK3CA,TLR4,EP300,GATA3
IMMUNE RESPONSE-REGULATING CELL SURFACE RECEPTOR SIGNALING PATHWAY%GOBP%GO:0002768	immune response-regulating cell surface receptor signaling pathway	0.00127800514967279	0.00127800514967279	1	MAP2K4,KIT,PIK3CA,TLR4,EP300,MAP3K1,GATA3
IMPAIRED BRCA2 BINDING TO PALB2%REACTOME DATABASE ID RELEASE 83%9709603	Impaired BRCA2 binding to PALB2	0.000801635787388087	0.000801635787388087	1	BRCA1,BRCA2,ATM
IMPAIRED BRCA2 BINDING TO RAD51%REACTOME DATABASE ID RELEASE 83%9709570	Impaired BRCA2 binding to RAD51	0.00020762042927859	0.00020762042927859	1	ATM,ATR,BRCA1,BRCA2
INFLAMMATORY BOWEL DISEASE SIGNALING%WIKIPATHWAYS_20220510%WP5198%HOMO SAPIENS	Inflammatory bowel disease signaling	0.00522683596890879	0.00522683596890879	1	GATA3,SMAD2,TLR4
INFLUENCE OF LAMINOPATHIES ON WNT SIGNALING%WIKIPATHWAYS_20220510%WP4844%HOMO SAPIENS	Influence of laminopathies on Wnt signaling	0.00103699810487464	0.00103699810487464	1	CTNNB1,CCND1,CEBPA
INNER EAR DEVELOPMENT%GOBP%GO:0048839	inner ear development	0.009248240506449	0.009248240506449	1	PTPN11,SOX9,FGFR2
INOSITOL LIPID-MEDIATED SIGNALING%GOBP%GO:0048017	inositol lipid-mediated signaling	5.38737240066021e-05	5.38737240066021e-05	1	PIK3CG,AKT1,PTEN,PIK3R1,GATA3,PDGFRA,PIK3CA
INSULIN SIGNALING%WIKIPATHWAYS_20220510%WP481%HOMO SAPIENS	Insulin signaling	0.0121503889392776	0.0121503889392776	1	PIK3R1,PTPN11,MAP2K4,MTOR,PTEN,MAP3K1
