NAME	ORIGINAL SIZE	AFTER RESTRICTING TO DATASET	STATUS	
PI-3K CASCADE:FGFR1%REACTOME%R-HSA-5654689.2	15		Rejected!	
PLASMA LIPOPROTEIN REMODELING%REACTOME DATABASE ID RELEASE 73%8963899	30	15		
TP53 REGULATES TRANSCRIPTION OF CELL DEATH GENES%REACTOME%R-HSA-5633008.2	44	41		
REMOVAL OF AMINOTERMINAL PROPEPTIDES FROM GAMMA-CARBOXYLATED PROTEINS%REACTOME DATABASE ID RELEASE 73%159782	10		Rejected!	
SYNTHESIS OF BILE ACIDS AND BILE SALTS VIA 27-HYDROXYCHOLESTEROL%REACTOME%R-HSA-193807.1	15	10		
GLUCAGON-LIKE PEPTIDE-1 (GLP1) REGULATES INSULIN SECRETION%REACTOME%R-HSA-381676.2	42	30		
FGFR2C LIGAND BINDING AND ACTIVATION%REACTOME%R-HSA-190375.3	9		Rejected!	
MATURATION OF REPLICASE PROTEINS%REACTOME%R-HSA-9684325.1	0		Rejected!	
COLLAGEN FORMATION%REACTOME%R-HSA-1474290.2	89	69		
ELECTRIC TRANSMISSION ACROSS GAP JUNCTIONS%REACTOME%R-HSA-112303.1	5		Rejected!	
TRANSCRIPTIONAL REGULATION BY VENTX%REACTOME%R-HSA-8853884.2	39	35		
SYNTHESIS OF ACTIVE UBIQUITIN: ROLES OF E1 AND E2 ENZYMES%REACTOME%R-HSA-8866652.2	30	29		
FOXO-MEDIATED TRANSCRIPTION OF CELL DEATH GENES%REACTOME DATABASE ID RELEASE 73%9614657	16	16		
HEREDITARY FRUCTOSE INTOLERANCE%REACTOME%R-HSA-5657560.3	1		Rejected!	
MET ACTIVATES PTK2 SIGNALING%REACTOME%R-HSA-8874081.1	18	18		
DEFECTIVE ABCD1 CAUSES ADRENOLEUKODYSTROPHY (ALD)%REACTOME%R-HSA-5684045.1	1		Rejected!	
REGULATION OF EXPRESSION OF SLITS AND ROBOS%REACTOME%R-HSA-9010553.1	171	156		
TOLERANCE BY MTB TO NITRIC OXIDE PRODUCED BY MACROPHAGES%REACTOME%R-HSA-1222538.3	0		Rejected!	
FGFR3 LIGAND BINDING AND ACTIVATION%REACTOME DATABASE ID RELEASE 73%190239	9		Rejected!	
MITOPHAGY%REACTOME DATABASE ID RELEASE 73%5205647	27	26		
FORMATION OF XYLULOSE-5-PHOSPHATE%REACTOME%R-HSA-5661270.2	5		Rejected!	
GAB1 SIGNALOSOME%REACTOME DATABASE ID RELEASE 73%180292	16	13		
NEF MEDIATED CD8 DOWN-REGULATION%REACTOME%R-HSA-182218.1	7		Rejected!	
DEFECTIVE SLC17A8 CAUSES AUTOSOMAL DOMINANT DEAFNESS 25 (DFNA25)%REACTOME DATABASE ID RELEASE 73%5619076	1		Rejected!	
SHC1 EVENTS IN ERBB4 SIGNALING%REACTOME DATABASE ID RELEASE 73%1250347	11		Rejected!	
THE CANONICAL RETINOID CYCLE IN RODS (TWILIGHT VISION)%REACTOME DATABASE ID RELEASE 73%2453902	22	14		
SIGNALING BY JUXTAMEMBRANE DOMAIN KIT MUTANTS%REACTOME%R-HSA-9669935.1	1		Rejected!	
NUCLEOTIDE-BINDING DOMAIN, LEUCINE RICH REPEAT CONTAINING RECEPTOR (NLR) SIGNALING PATHWAYS%REACTOME%R-HSA-168643.1	51	50		
FORMATION OF TUBULIN FOLDING INTERMEDIATES BY CCT TRIC%REACTOME%R-HSA-389960.2	24	17		
SIGNALING BY CYTOSOLIC PDGFRA AND PDGFRB FUSION PROTEINS%REACTOME DATABASE ID RELEASE 73%9673766	3		Rejected!	
ENDOSOMAL VACUOLAR PATHWAY%REACTOME%R-HSA-1236977.1	11		Rejected!	
ELEVATION OF CYTOSOLIC CA2+ LEVELS%REACTOME%R-HSA-139853.3	16	11		
INTERLEUKIN-1 PROCESSING%REACTOME%R-HSA-448706.1	8		Rejected!	
PROLACTIN RECEPTOR SIGNALING%REACTOME DATABASE ID RELEASE 73%1170546	14	10		
PROCESSING OF CAPPED INTRONLESS PRE-MRNA%REACTOME DATABASE ID RELEASE 73%75067	28	28		
ABORTIVE ELONGATION OF HIV-1 TRANSCRIPT IN THE ABSENCE OF TAT%REACTOME DATABASE ID RELEASE 73%167242	23	19		
RETROGRADE TRANSPORT AT THE TRANS-GOLGI-NETWORK%REACTOME%R-HSA-6811440.1	49	46		
RAB GEFS EXCHANGE GTP FOR GDP ON RABS%REACTOME%R-HSA-8876198.3	88	76		
DNA METHYLATION%REACTOME%R-HSA-5334118.1	65	28		
RESISTANCE OF ERBB2 KD MUTANTS TO AEE788%REACTOME DATABASE ID RELEASE 73%9665250	4		Rejected!	
RESPONSE TO METAL IONS%REACTOME%R-HSA-5660526.4	14	10		
INTERCONVERSION OF POLYAMINES%REACTOME%R-HSA-351200.1	2		Rejected!	
DEFECTIVE SLC12A1 CAUSES BARTTER SYNDROME 1 (BS1)%REACTOME%R-HSA-5619104.1	1		Rejected!	
INTERLEUKIN-6 SIGNALING%REACTOME%R-HSA-1059683.2	11	11		
TRANSPORT OF CONNEXONS TO THE PLASMA MEMBRANE%REACTOME DATABASE ID RELEASE 73%190872	2		Rejected!	
TRANSPORT OF MATURE MRNA DERIVED FROM AN INTRONLESS TRANSCRIPT%REACTOME DATABASE ID RELEASE 73%159231	37	36		
DEFECTIVE ABCA1 CAUSES TANGIER DISEASE%REACTOME%R-HSA-5682113.2	2		Rejected!	
DEFECTIVE SLC1A3 CAUSES EPISODIC ATAXIA 6 (EA6)%REACTOME%R-HSA-5619062.1	1		Rejected!	
INTERLEUKIN-2 FAMILY SIGNALING%REACTOME%R-HSA-451927.5	44	36		
CELL DEATH SIGNALLING VIA NRAGE, NRIF AND NADE%REACTOME%R-HSA-204998.1	76	69		
POST-CHAPERONIN TUBULIN FOLDING PATHWAY%REACTOME%R-HSA-389977.2	21	14		
METHYLATION%REACTOME DATABASE ID RELEASE 73%156581	14	13		
GAP-FILLING DNA REPAIR SYNTHESIS AND LIGATION IN GG-NER%REACTOME DATABASE ID RELEASE 73%5696397	25	25		
PERVASIVE DEVELOPMENTAL DISORDERS%REACTOME DATABASE ID RELEASE 73%9005895	10		Rejected!	
THE PHOTOTRANSDUCTION CASCADE%REACTOME%R-HSA-2514856.1	30	13		
DEFECTIVE AVP DOES NOT BIND AVPR2 AND CAUSES NEUROHYPOPHYSEAL DIABETES INSIPIDUS (NDI)%REACTOME%R-HSA-9036092.2	2		Rejected!	
CELL JUNCTION ORGANIZATION%REACTOME DATABASE ID RELEASE 73%446728	86	68		
MELANIN BIOSYNTHESIS%REACTOME%R-HSA-5662702.2	5		Rejected!	
PAOS OXIDISE POLYAMINES TO AMINES%REACTOME DATABASE ID RELEASE 73%141334	1		Rejected!	
BETAKLOTHO-MEDIATED LIGAND BINDING%REACTOME%R-HSA-1307965.1	3		Rejected!	
PLATELET ACTIVATION, SIGNALING AND AGGREGATION%REACTOME DATABASE ID RELEASE 73%76002	254		Rejected!	
MET PROMOTES CELL MOTILITY%REACTOME%R-HSA-8875878.1	28	28		
DEGRADATION OF DVL%REACTOME%R-HSA-4641258.2	57	54		
EGFR DOWNREGULATION%REACTOME%R-HSA-182971.6	30	26		
MITOTIC ANAPHASE%REACTOME%R-HSA-68882.2	226		Rejected!	
PI-3K CASCADE:FGFR3%REACTOME%R-HSA-5654710.2	13		Rejected!	
DEFECTIVE SLC20A2 CAUSES IDIOPATHIC BASAL GANGLIA CALCIFICATION 1 (IBGC1)%REACTOME%R-HSA-5619111.1	1		Rejected!	
CONJUGATION OF CARBOXYLIC ACIDS%REACTOME%R-HSA-159424.1	9		Rejected!	
SIGNALING BY ERBB2%REACTOME%R-HSA-1227986.7	46	43		
BIOSYNTHESIS OF DPA-DERIVED SPMS%REACTOME DATABASE ID RELEASE 73%9018683	4		Rejected!	
RAF ACTIVATION%REACTOME%R-HSA-5673000.2	32	31		
ABACAVIR TRANSMEMBRANE TRANSPORT%REACTOME DATABASE ID RELEASE 73%2161517	5		Rejected!	
SIGNALING BY FGFR4 IN DISEASE%REACTOME%R-HSA-5655291.1	9		Rejected!	
NEUROTRANSMITTER RECEPTORS AND POSTSYNAPTIC SIGNAL TRANSMISSION%REACTOME DATABASE ID RELEASE 73%112314	176	109		
ATTACHMENT AND ENTRY%REACTOME DATABASE ID RELEASE 73%9678110	4		Rejected!	
ACYL CHAIN REMODELLING OF PC%REACTOME%R-HSA-1482788.3	26	17		
ERYTHROPOIETIN ACTIVATES PHOSPHOINOSITIDE-3-KINASE (PI3K)%REACTOME%R-HSA-9027276.1	12	11		
DEFECTIVE F8 CLEAVAGE BY THROMBIN%REACTOME DATABASE ID RELEASE 73%9672391	3		Rejected!	
L1CAM INTERACTIONS%REACTOME DATABASE ID RELEASE 73%373760	97	79		
CASPASE ACTIVATION VIA EXTRINSIC APOPTOTIC SIGNALLING PATHWAY%REACTOME%R-HSA-5357769.3	25	24		
SCAVENGING OF HEME FROM PLASMA%REACTOME DATABASE ID RELEASE 73%2168880	22		Rejected!	
PROTEIN REPAIR%REACTOME%R-HSA-5676934.2	6		Rejected!	
RUNX3 REGULATES WNT SIGNALING%REACTOME DATABASE ID RELEASE 73%8951430	8		Rejected!	
TNFR2 NON-CANONICAL NF-KB PATHWAY%REACTOME DATABASE ID RELEASE 73%5668541	100	90		
NADPH REGENERATION%REACTOME DATABASE ID RELEASE 73%389542	1		Rejected!	
REGULATION OF FOXO TRANSCRIPTIONAL ACTIVITY BY ACETYLATION%REACTOME DATABASE ID RELEASE 73%9617629	10	10		
ABC TRANSPORTER DISORDERS%REACTOME%R-HSA-5619084.4	77	68		
DAP12 INTERACTIONS%REACTOME%R-HSA-2172127.1	38	30		
SCAVENGING BY CLASS H RECEPTORS%REACTOME%R-HSA-3000497.1	4		Rejected!	
DEFECTIVE SLC6A3 CAUSES PARKINSONISM-DYSTONIA INFANTILE (PKDYS)%REACTOME DATABASE ID RELEASE 73%5660724	1		Rejected!	
RUNX1 REGULATES TRANSCRIPTION OF GENES INVOLVED IN DIFFERENTIATION OF KERATINOCYTES%REACTOME%R-HSA-8939242.1	8		Rejected!	
TRANSCRIPTIONAL ACTIVITY OF SMAD2 SMAD3:SMAD4 HETEROTRIMER%REACTOME%R-HSA-2173793.2	44	43		
SHC1 EVENTS IN EGFR SIGNALING%REACTOME DATABASE ID RELEASE 73%180336	12		Rejected!	
G-PROTEIN MEDIATED EVENTS%REACTOME%R-HSA-112040.1	53	43		
DEUBIQUITINATION%REACTOME%R-HSA-5688426.3	298		Rejected!	
INTERLEUKIN-17 SIGNALING%REACTOME%R-HSA-448424.5	71	67		
NUCLEAR ENVELOPE BREAKDOWN%REACTOME DATABASE ID RELEASE 73%2980766	46	43		
ESR-MEDIATED SIGNALING%REACTOME%R-HSA-8939211.2	215	163		
STIMULI-SENSING CHANNELS%REACTOME%R-HSA-2672351.4	99	60		
MOLYBDENUM COFACTOR BIOSYNTHESIS%REACTOME DATABASE ID RELEASE 73%947581	4		Rejected!	
DIGESTION OF DIETARY CARBOHYDRATE%REACTOME%R-HSA-189085.2	11		Rejected!	
REGULATION OF COMMISSURAL AXON PATHFINDING BY SLIT AND ROBO%REACTOME%R-HSA-428542.3	9		Rejected!	
INTERLEUKIN-38 SIGNALING%REACTOME%R-HSA-9007892.2	4		Rejected!	
OXIDATIVE DEMETHYLATION OF DNA%REACTOME%R-HSA-5221030.2	4		Rejected!	
FGFR4 LIGAND BINDING AND ACTIVATION%REACTOME%R-HSA-190322.1	12		Rejected!	
ARYL HYDROCARBON RECEPTOR SIGNALLING%REACTOME%R-HSA-8937144.1	7		Rejected!	
RUNX3 REGULATES P14-ARF%REACTOME DATABASE ID RELEASE 73%8951936	9		Rejected!	
GLYCINE DEGRADATION%REACTOME DATABASE ID RELEASE 73%6783984	4		Rejected!	
DEFECTIVE ALG9 CAUSES ALG9-CDG (CDG-1L)%REACTOME DATABASE ID RELEASE 73%4720454	1		Rejected!	
CD163 MEDIATING AN ANTI-INFLAMMATORY RESPONSE%REACTOME DATABASE ID RELEASE 73%9662834	9		Rejected!	
CATECHOLAMINE BIOSYNTHESIS%REACTOME%R-HSA-209905.1	4		Rejected!	
NADE MODULATES DEATH SIGNALLING%REACTOME%R-HSA-205025.1	6		Rejected!	
AXONAL GROWTH INHIBITION (RHOA ACTIVATION)%REACTOME%R-HSA-193634.2	8		Rejected!	
P53-INDEPENDENT G1 S DNA DAMAGE CHECKPOINT%REACTOME%R-HSA-69613.2	52	50		
GRB7 EVENTS IN ERBB2 SIGNALING%REACTOME DATABASE ID RELEASE 73%1306955	4		Rejected!	
SIGNALING BY ERBB4%REACTOME%R-HSA-1236394.4	54	44		
ERYTHROCYTES TAKE UP OXYGEN AND RELEASE CARBON DIOXIDE%REACTOME%R-HSA-1247673.1	9		Rejected!	
NEUROTRANSMITTER RELEASE CYCLE%REACTOME%R-HSA-112310.5	49	31		
NUCLEAR IMPORT OF REV PROTEIN%REACTOME DATABASE ID RELEASE 73%180746	30	29		
TANDEM PORE DOMAIN POTASSIUM CHANNELS%REACTOME DATABASE ID RELEASE 73%1296346	12		Rejected!	
DEFECTIVE MOGS CAUSES MOGS-CDG (CDG-2B)%REACTOME%R-HSA-4793954.1	1		Rejected!	
INTRACELLULAR SIGNALING BY SECOND MESSENGERS%REACTOME DATABASE ID RELEASE 73%9006925	287		Rejected!	
FRS-MEDIATED FGFR1 SIGNALING%REACTOME DATABASE ID RELEASE 73%5654693	16		Rejected!	
CA2+ PATHWAY%REACTOME DATABASE ID RELEASE 73%4086398	58	45		
BIOSYNTHESIS OF DPAN-3-DERIVED PROTECTINS AND RESOLVINS%REACTOME DATABASE ID RELEASE 73%9026286	2		Rejected!	
BIOSYNTHESIS OF PROTECTINS%REACTOME%R-HSA-9018681.1	4		Rejected!	
REGULATION OF KIT SIGNALING%REACTOME%R-HSA-1433559.1	12	12		
ROS AND RNS PRODUCTION IN PHAGOCYTES%REACTOME DATABASE ID RELEASE 73%1222556	36	30		
CYCLIN E ASSOCIATED EVENTS DURING G1 S TRANSITION%REACTOME%R-HSA-69202.3	83	83		
ALPHA-LINOLENIC ACID (ALA) METABOLISM%REACTOME DATABASE ID RELEASE 73%2046106	12	12		
DEFECTIVE SLC11A2 CAUSES HYPOCHROMIC MICROCYTIC ANEMIA, WITH IRON OVERLOAD 1 (AHMIO1)%REACTOME%R-HSA-5619048.1	1		Rejected!	
DETOXIFICATION OF REACTIVE OXYGEN SPECIES%REACTOME%R-HSA-3299685.5	34	29		
LOSS OF NLP FROM MITOTIC CENTROSOMES%REACTOME%R-HSA-380259.1	67	61		
AMPK INHIBITS CHREBP TRANSCRIPTIONAL ACTIVATION ACTIVITY%REACTOME DATABASE ID RELEASE 73%163680	8		Rejected!	
STAT6-MEDIATED INDUCTION OF CHEMOKINES%REACTOME DATABASE ID RELEASE 73%3249367	3		Rejected!	
NICOTINATE METABOLISM%REACTOME DATABASE ID RELEASE 73%196807	31	24		
ZINC INFLUX INTO CELLS BY THE SLC39 GENE FAMILY%REACTOME%R-HSA-442380.1	10		Rejected!	
NFG AND PRONGF BINDS TO P75NTR%REACTOME DATABASE ID RELEASE 73%205017	2		Rejected!	
PPARA ACTIVATES GENE EXPRESSION%REACTOME%R-HSA-1989781.3	114	100		
SIGNALING BY NOTCH1 IN CANCER%REACTOME%R-HSA-2644603.2	57	55		
HDL REMODELING%REACTOME DATABASE ID RELEASE 73%8964058	9		Rejected!	
RIPK1-MEDIATED REGULATED NECROSIS%REACTOME%R-HSA-5213460.1	15	15		
BIOSYNTHESIS OF DHA-DERIVED SPMS%REACTOME DATABASE ID RELEASE 73%9018677	16		Rejected!	
VPU MEDIATED DEGRADATION OF CD4%REACTOME DATABASE ID RELEASE 73%180534	52	50		
POSTSYNAPTIC NICOTINIC ACETYLCHOLINE RECEPTORS%REACTOME DATABASE ID RELEASE 73%622327	14		Rejected!	
DEFECTIVE MAN1B1 CAUSES MRT15%REACTOME%R-HSA-4793950.2	1		Rejected!	
RAF-INDEPENDENT MAPK1 3 ACTIVATION%REACTOME%R-HSA-112409.2	22	22		
ACTIVATED POINT MUTANTS OF FGFR2%REACTOME%R-HSA-2033519.1	14		Rejected!	
DEFECTIVE MISMATCH REPAIR ASSOCIATED WITH PMS2%REACTOME%R-HSA-5632987.1	2		Rejected!	
DEFECTIVE OPLAH CAUSES 5-OXOPROLINASE DEFICIENCY (OPLAHD)%REACTOME DATABASE ID RELEASE 73%5578998	1		Rejected!	
APEX1-INDEPENDENT RESOLUTION OF AP SITES VIA THE SINGLE NUCLEOTIDE REPLACEMENT PATHWAY%REACTOME DATABASE ID RELEASE 73%5649702	7		Rejected!	
MRNA EDITING%REACTOME DATABASE ID RELEASE 73%75072	10		Rejected!	
PROCESSING OF DNA DOUBLE-STRAND BREAK ENDS%REACTOME%R-HSA-5693607.1	98	73		
SYNTHESIS OF LIPOXINS (LX)%REACTOME DATABASE ID RELEASE 73%2142700	6		Rejected!	
TRYPTOPHAN CATABOLISM%REACTOME%R-HSA-71240.2	14	12		
SELENOAMINO ACID METABOLISM%REACTOME DATABASE ID RELEASE 73%2408522	116	110		
METABOLISM OF STEROID HORMONES%REACTOME%R-HSA-196071.2	35	21		
NA+ CL- DEPENDENT NEUROTRANSMITTER TRANSPORTERS%REACTOME DATABASE ID RELEASE 73%442660	19		Rejected!	
VITAMIN B1 (THIAMIN) METABOLISM%REACTOME%R-HSA-196819.2	5		Rejected!	
BIOSYNTHESIS OF ELECTROPHILIC Ω-3 PUFA OXO-DERIVATIVES%REACTOME DATABASE ID RELEASE 73%9027604	2		Rejected!	
ACTIVATION OF AMPA RECEPTORS%REACTOME%R-HSA-399710.1	4		Rejected!	
BETA-CATENIN INDEPENDENT WNT SIGNALING%REACTOME DATABASE ID RELEASE 73%3858494	141	124		
SMAD4 MH2 DOMAIN MUTANTS IN CANCER%REACTOME DATABASE ID RELEASE 73%3311021	3		Rejected!	
G1 S TRANSITION%REACTOME DATABASE ID RELEASE 73%69206	131	124		
DISEASES ASSOCIATED WITH GLYCOSYLATION PRECURSOR BIOSYNTHESIS%REACTOME DATABASE ID RELEASE 73%5609975	18	18		
RESISTANCE OF ERBB2 KD MUTANTS TO AFATINIB%REACTOME DATABASE ID RELEASE 73%9665249	4		Rejected!	
DEFECTIVE F9 SECRETION%REACTOME%R-HSA-9673218.1	1		Rejected!	
HYALURONAN UPTAKE AND DEGRADATION%REACTOME DATABASE ID RELEASE 73%2160916	12	10		
ACTIVATION OF APC C AND APC C:CDC20 MEDIATED DEGRADATION OF MITOTIC PROTEINS%REACTOME DATABASE ID RELEASE 73%176814	77	74		
CLATHRIN-MEDIATED ENDOCYTOSIS%REACTOME%R-HSA-8856828.3	142	128		
ACTIVATED NTRK2 SIGNALS THROUGH PLCG1%REACTOME%R-HSA-9026527.1	4		Rejected!	
INTERLEUKIN-2 SIGNALING%REACTOME DATABASE ID RELEASE 73%9020558	12	11		
SUMO IS PROTEOLYTICALLY PROCESSED%REACTOME DATABASE ID RELEASE 73%3065679	6		Rejected!	
SIGNALING BY MEMBRANE-TETHERED FUSIONS OF PDGFRA OR PDGFRB%REACTOME DATABASE ID RELEASE 73%9673768	4		Rejected!	
TP53 REGULATES TRANSCRIPTION OF SEVERAL ADDITIONAL CELL DEATH GENES WHOSE SPECIFIC ROLES IN P53-DEPENDENT APOPTOSIS REMAIN UNCERTAIN%REACTOME DATABASE ID RELEASE 73%6803205	14	13		
CROSSLINKING OF COLLAGEN FIBRILS%REACTOME%R-HSA-2243919.2	10		Rejected!	
SYNTHESIS OF DOLICHYL-PHOSPHATE-GLUCOSE%REACTOME%R-HSA-480985.2	2		Rejected!	
DISEASES ASSOCIATED WITH SURFACTANT METABOLISM%REACTOME DATABASE ID RELEASE 73%5687613	10		Rejected!	
TOXICITY OF BOTULINUM TOXIN TYPE F (BONT F)%REACTOME DATABASE ID RELEASE 73%5250981	5		Rejected!	
CYCLIN D ASSOCIATED EVENTS IN G1%REACTOME%R-HSA-69231.7	46	46		
SORAFENIB-RESISTANT PDGFR MUTANTS%REACTOME%R-HSA-9674404.1	1		Rejected!	
GENOME REPLICATION AND TRANSCRIPTION%REACTOME%R-HSA-9679514.1	6		Rejected!	
DEFECTIVE UGT1A1 CAUSES HYPERBILIRUBINEMIA%REACTOME DATABASE ID RELEASE 73%5579002	1		Rejected!	
RUNX1 REGULATES TRANSCRIPTION OF GENES INVOLVED IN BCR SIGNALING%REACTOME DATABASE ID RELEASE 73%8939245	6		Rejected!	
RETINOID METABOLISM AND TRANSPORT%REACTOME DATABASE ID RELEASE 73%975634	44	30		
PLC-GAMMA1 SIGNALLING%REACTOME%R-HSA-167021.2	3		Rejected!	
ORC1 REMOVAL FROM CHROMATIN%REACTOME DATABASE ID RELEASE 73%68949	71	63		
CILIUM ASSEMBLY%REACTOME%R-HSA-5617833.3	186	165		
SIGNALING BY EGFR%REACTOME DATABASE ID RELEASE 73%177929	48	44		
APC:CDC20 MEDIATED DEGRADATION OF CELL CYCLE PROTEINS PRIOR TO SATISFATION OF THE CELL CYCLE CHECKPOINT%REACTOME%R-HSA-179419.1	74	71		
REGORAFENIB-RESISTANT KIT MUTANTS%REACTOME%R-HSA-9669929.1	1		Rejected!	
FC EPSILON RECEPTOR (FCERI) SIGNALING%REACTOME DATABASE ID RELEASE 73%2454202	135	122		
CHYLOMICRON REMODELING%REACTOME%R-HSA-8963901.1	10		Rejected!	
PHENYLKETONURIA%REACTOME DATABASE ID RELEASE 73%2160456	1		Rejected!	
METABOLISM OF NITRIC OXIDE: NOS3 ACTIVATION AND REGULATION%REACTOME%R-HSA-202131.4	14	14		
NOTCH2 ACTIVATION AND TRANSMISSION OF SIGNAL TO THE NUCLEUS%REACTOME%R-HSA-2979096.1	22	21		
NONSENSE MEDIATED DECAY (NMD) ENHANCED BY THE EXON JUNCTION COMPLEX (EJC)%REACTOME%R-HSA-975957.1	116	109		
AMINO ACID TRANSPORT ACROSS THE PLASMA MEMBRANE%REACTOME DATABASE ID RELEASE 73%352230	32	23		
P38MAPK EVENTS%REACTOME DATABASE ID RELEASE 73%171007	11	11		
BMAL1:CLOCK,NPAS2 ACTIVATES CIRCADIAN GENE EXPRESSION%REACTOME DATABASE ID RELEASE 73%1368108	27	24		
MPS IIID - SANFILIPPO SYNDROME D%REACTOME DATABASE ID RELEASE 73%2206305	1		Rejected!	
GAP JUNCTION ASSEMBLY%REACTOME%R-HSA-190861.1	19	10		
RUNX2 REGULATES CHONDROCYTE MATURATION%REACTOME%R-HSA-8941284.1	4		Rejected!	
EML4 AND NUDC IN MITOTIC SPINDLE FORMATION%REACTOME DATABASE ID RELEASE 73%9648025	96	92		
CLASS B 2 (SECRETIN FAMILY RECEPTORS)%REACTOME DATABASE ID RELEASE 73%373080	93	46		
XBP1(S) ACTIVATES CHAPERONE GENES%REACTOME DATABASE ID RELEASE 73%381038	47	45		
CELLULAR RESPONSE TO HEAT STRESS%REACTOME DATABASE ID RELEASE 73%3371556	84	81		
DEFECTIVE BASE EXCISION REPAIR ASSOCIATED WITH OGG1%REACTOME%R-HSA-9656249.2	1		Rejected!	
ASSEMBLY AND CELL SURFACE PRESENTATION OF NMDA RECEPTORS%REACTOME%R-HSA-9609736.3	25	14		
HDR THROUGH MMEJ (ALT-NHEJ)%REACTOME DATABASE ID RELEASE 73%5685939	10	10		
MEIOSIS%REACTOME DATABASE ID RELEASE 73%1500620	117	70		
EVASION OF OXIDATIVE STRESS INDUCED SENESCENCE DUE TO P16INK4A DEFECTS%REACTOME%R-HSA-9632693.3	3		Rejected!	
DEFECTS IN BIOTIN (BTN) METABOLISM%REACTOME DATABASE ID RELEASE 73%3323169	8		Rejected!	
PLASMA LIPOPROTEIN CLEARANCE%REACTOME%R-HSA-8964043.1	32	26		
SIGNALING BY NOTCH1 PEST DOMAIN MUTANTS IN CANCER%REACTOME%R-HSA-2644602.1	57	55		
WAX BIOSYNTHESIS%REACTOME%R-HSA-9640463.1	4		Rejected!	
DEFECTIVE SLC2A1 CAUSES GLUT1 DEFICIENCY SYNDROME 1 (GLUT1DS1)%REACTOME%R-HSA-5619043.1	1		Rejected!	
CYCLIN A B1 B2 ASSOCIATED EVENTS DURING G2 M TRANSITION%REACTOME DATABASE ID RELEASE 73%69273	25	25		
TRAF6 MEDIATED NF-KB ACTIVATION%REACTOME DATABASE ID RELEASE 73%933542	24	23		
IKBKG DEFICIENCY CAUSES ANHIDROTIC ECTODERMAL DYSPLASIA WITH IMMUNODEFICIENCY (EDA-ID) (VIA TLR)%REACTOME%R-HSA-5603027.1	3		Rejected!	
DEFECTIVE AVP DOES NOT BIND AVPR1A,B AND CAUSES NEUROHYPOPHYSEAL DIABETES INSIPIDUS (NDI)%REACTOME%R-HSA-5619099.3	3		Rejected!	
ONCOGENIC MAPK SIGNALING%REACTOME%R-HSA-6802957.5	79	73		
GLYCOLYSIS%REACTOME%R-HSA-70171.6	66	59		
DEFECTIVE COFACTOR FUNCTION OF FVIIIA VARIANT%REACTOME%R-HSA-9672396.1	3		Rejected!	
CELL SURFACE INTERACTIONS AT THE VASCULAR WALL%REACTOME DATABASE ID RELEASE 73%202733	139	99		
PROTEIN LOCALIZATION%REACTOME DATABASE ID RELEASE 73%9609507	158	140		
GASTRIN-CREB SIGNALLING PATHWAY VIA PKC AND MAPK%REACTOME DATABASE ID RELEASE 73%881907	16	13		
CROSS-PRESENTATION OF SOLUBLE EXOGENOUS ANTIGENS (ENDOSOMES)%REACTOME%R-HSA-1236978.1	50	48		
RRNA MODIFICATION IN THE MITOCHONDRION%REACTOME%R-HSA-6793080.3	6		Rejected!	
DEFECTIVE GCLC CAUSES HEMOLYTIC ANEMIA DUE TO GAMMA-GLUTAMYLCYSTEINE SYNTHETASE DEFICIENCY (HAGGSD)%REACTOME%R-HSA-5578999.1	2		Rejected!	
THREONINE CATABOLISM%REACTOME DATABASE ID RELEASE 73%8849175	4		Rejected!	
DEFECTIVE F9 ACTIVATION%REACTOME%R-HSA-9673221.1	6		Rejected!	
OAS ANTIVIRAL RESPONSE%REACTOME DATABASE ID RELEASE 73%8983711	9		Rejected!	
PORPHYRIN METABOLISM%REACTOME%R-HSA-189445.1	24	17		
ENDOSOMAL SORTING COMPLEX REQUIRED FOR TRANSPORT (ESCRT)%REACTOME DATABASE ID RELEASE 73%917729	31	28		
CONSTITUTIVE SIGNALING BY ABERRANT PI3K IN CANCER%REACTOME%R-HSA-2219530.1	62	47		
ADVANCED GLYCOSYLATION ENDPRODUCT RECEPTOR SIGNALING%REACTOME%R-HSA-879415.1	13	12		
ESSENTIAL PENTOSURIA%REACTOME%R-HSA-5662853.2	1		Rejected!	
SIGNALING BY EGFR IN CANCER%REACTOME DATABASE ID RELEASE 73%1643713	23	20		
ABACAVIR METABOLISM%REACTOME%R-HSA-2161541.3	5		Rejected!	
GAMMA CARBOXYLATION, HYPUSINE FORMATION AND ARYLSULFATASE ACTIVATION%REACTOME DATABASE ID RELEASE 73%163841	41	31		
TRANSMISSION ACROSS ELECTRICAL SYNAPSES%REACTOME DATABASE ID RELEASE 73%112307	5		Rejected!	
TP53 REGULATES TRANSCRIPTION OF GENES INVOLVED IN CYTOCHROME C RELEASE%REACTOME%R-HSA-6803204.1	20	18		
HDR THROUGH HOMOLOGOUS RECOMBINATION (HRR)%REACTOME DATABASE ID RELEASE 73%5685942	67	59		
DEFECTIVE SLC4A4 CAUSES RENAL TUBULAR ACIDOSIS, PROXIMAL, WITH OCULAR ABNORMALITIES AND MENTAL RETARDATION (PRTA-OA)%REACTOME%R-HSA-5619054.1	1		Rejected!	
ESCAPE OF MTB FROM THE PHAGOCYTE%REACTOME DATABASE ID RELEASE 73%9637679	0		Rejected!	
